,City,Names,Bed,Bath,Area,Rating,location,petsallowed,pool,fitnessCenter,gated,grill,closet,washerdryer,countertops,access,Rent
30,denton,The Lodge at Pecan Creek,1 - 3 ,1 - 2 ,"734 - 1,335 ",?,"6503 W Shady Shores Rd,
                Denton,
                
TX
76208",0,1,1,0,0,1,1,1,0,"1,628 - 2,150"
31,denton,Greenway Patio,1 - 3 ,1 - 2 ,"711 - 1,260 ",4.0,"2912 Augusta Dr,
                Denton,
                
TX
76207",1,1,0,0,1,1,1,0,0,"1,665 - 1,810"
32,denton,Paces Crossing,Studio - 2 ,1 - 2 ,440 - 966 ,4.0,"2411 S I-35 E,
                Denton,
                
TX
76210",1,1,1,0,1,1,1,0,0,"1,084 - 2,076"
33,denton,Quincy Court,1 - 2 ,1 - 2 ,657 - 938 ,?,"4200 Stuart Rd,
                Denton,
                
TX
76207",1,0,0,0,0,1,1,0,0,"1,249 - 1,649"
34,denton,Sequoia Park Apartments,1 - 2 ,1 - 2 ,675 - 875 ,3.3,"1400 E University Denton Dr,
                Denton,
                
TX
76209",1,1,0,0,0,0,0,0,0,Call for Rent
35,denton,Camino Del Sol Apartment Homes,1 - 2 ,1 - 2 ,565 - 981 ,3.1,"1030 Dallas Dr,
                Denton,
                
TX
76205",1,1,1,0,0,1,1,0,0,"1,049 - 1,907"
36,denton,WatersEdge Denton Apartments,1 - 2 ,1 - 2 ,"500 - 1,187 ",3.9,"1939 Colorado Blvd,
                Denton,
                
TX
76205",1,1,0,0,1,0,1,0,0,"1,185 - 2,610"
37,denton,Square9 Apartment Homes,1 - 2 ,1 - 2 ,"504 - 1,112 ",4.8,"214 S Bell Ave,
                Denton,
                
TX
76201",1,0,0,0,1,0,0,0,1,"1,074 - 1,742"
38,denton,Canopy at South Lakes,1 - 3 ,1 - 2 ,"713 - 1,256 ",5.0,"500 S Interstate 35 E,
                Denton,
                
TX
76205",1,1,1,1,0,1,1,0,1,"1,250 - 2,987"
39,denton,The Pearl on University,1 - 2 ,1 - 1.5 ,"505 - 1,000 ",3.0,"2425 Old North Rd,
                Denton,
                
TX
76209",1,0,0,0,1,1,0,0,0,925
40,denton,Ridgecrest,1 - 2 ,1 - 2 ,"531 - 1,069 ",3.8,"1300 Dallas Dr,
                Denton,
                
TX
76205",1,1,1,0,0,1,1,0,0,"1,100 - 1,609"
41,denton,MACK PARK,1 - 2 ,1 - 2 ,"500 - 1,000 ",3.9,"400 Audra Ln,
                Denton,
                
TX
76209",1,1,0,0,0,1,0,1,0,"910 - 1,400"
42,denton,14 Fifty-One ALL INCLUSIVE *Student Living*,2 - 5 ,2 - 5.5 ,"1,025 - 1,947 ",4.9,"1451 Centre Place Dr,
                Denton,
                
TX
76205",1,1,1,0,1,1,1,1,0,740 - 960
43,denton,Across The Street Apartments,Studio - 2 ,1 ,375 - 900 ,?,"1701 W Oak St,
                Denton,
                
TX
76201",0,1,0,0,1,0,0,1,0,"700 - 1,125"
44,denton,Preserve at Pecan Creek,1 - 3 ,1 - 2 ,"738 - 1,319 ",5.0,"6303 W Shady Shores Rd,
                Denton,
                
TX
76208",0,1,0,1,0,1,1,0,0,"1,209 - 2,149"
45,denton,Aspire Apartments,1 - 2 ,1 - 2 ,495 - 960 ,3.9,"201 Coronado Dr,
                Denton,
                
TX
76209",0,0,0,0,1,0,0,0,0,"1,064 - 1,264"
46,denton,Arbors of Denton,1 - 3 ,1 - 2 ,"638 - 1,034 ",4.8,"1103 Bernard St,
                Denton,
                
TX
76201",1,1,1,1,1,1,1,0,1,"619 - 1,274"
47,denton,16TEN East,Studio - 2 ,1 - 2 ,424 - 877 ,3.9,"1610 E McKinney St,
                Denton,
                
TX
76209",1,1,1,0,0,0,1,0,0,"950 - 1,475"
48,denton,Concrete Jungle Properties-DENTON,1 - 2 ,1 ,450 - 900 ,3.2,"2320 W Prairie St,
                Denton,
                
TX
76201",1,0,0,0,0,1,0,0,0,"850 - 1,350"
49,denton,Oaks of Denton,Studio - 3 ,1 - 2 ,366 - 987 ,4.6,"425 Bernard St,
                Denton,
                
TX
76201",0,1,0,0,0,1,1,0,0,"735 - 1,620"
