,City,Names,Bed,Bath,Area,Rating,location,petsallowed,pool,fitnessCenter,gated,grill,closet,washerdryer,countertops,access,Rent
34,denton,Pecan Creek on McKinney Apartments,2-4 ,?,"950-1,300 ",3.1666666666666665,"3500 E McKinney Denton St,  Denton, TX 76209",1,1,0,?,0,1,1,0,1,"1,283-1,473"
35,denton,Greenway Patio,1-3 ,?,"711-1,260 ",3.1666666666666665,"2912 Augusta Dr,  Denton, TX 76207",1,1,0,?,1,1,1,0,0,"1,695-1,780"
36,denton,Iconic Village,1-3 ,?,390-784 ,4.0,"2411 W Hickory St,  Denton, TX 76201",0,1,1,?,0,0,0,0,0,"660-1,085"
37,denton,Square9 Apartment Homes,1-2 ,?,"504-1,112 ",3.2,"214 S Bell Ave,  Denton, TX 76201",1,0,0,?,1,0,1,0,1,"1,074-1,742"
38,denton,Quincy Court,1-2 ,?,657-938 ,3.0,"4200 Stuart Rd,  Denton, TX 76207",0,0,0,?,0,1,0,0,0,"1,249-1,649"
39,denton,Longhorn Cove Townhomes,3 ,?,"1,255-1,409 ",3.25,"303 Stockade Ln,  Denton, TX 76205",1,0,0,?,1,1,1,0,1,"1,835-1,955"
40,denton,University Place,1-2 ,?,488-776 ,3.5,"911 Bernard St,  Denton, TX 76201",0,0,1,?,0,0,0,0,0,750-930
41,denton,16TEN East,Studio-2 ,?,424-877 ,3.3333333333333335,"1610 E McKinney St,  Denton, TX 76209",0,1,1,?,0,1,1,0,0,"950-1,475"
42,denton,WatersEdge Denton Apartments,1-2 ,?,"500-1,187 ",3.4,"1939 Colorado Blvd,  Denton, TX 76205",1,1,0,?,1,1,1,0,0,"1,070-2,594"
43,denton,The Mark At Denton,1-3 ,?,"568-1,154 ",3.0,"3500 N Bonnie Brae St,  Denton, TX 76207",0,1,0,?,1,1,1,1,0,"1,425-2,625"
44,denton,Oaks of Denton,Studio-3 ,?,366-987 ,3.25,"425 Bernard St,  Denton, TX 76201",0,1,0,?,0,1,1,0,0,"735-1,620"
45,denton,The Pearl on University,1-2 ,?,"505-1,000 ",3.0,"2425 Old North Rd,  Denton, TX 76209",0,0,0,?,1,1,0,0,0,"925-1,215"
46,denton,East End Lofts at the Railyard,1-3 ,?,"662-1,799 ",3.2,"612-616 E Hickory St,  Denton, TX 76205",1,0,0,?,0,1,0,1,1,"1,350-2,505"
47,denton,Sequoia Park Apartments,1-2 ,?,675-875 ,3.0,"1400 E University Denton Dr,  Denton, TX 76209",1,1,0,?,0,1,1,0,0,Contact for Rates
48,denton,Forum at Denton Station,1-4 ,?,"667-1,451 ",3.1666666666666665,"201 Inman St,  Denton, TX 76205",0,1,1,?,1,0,0,0,1,"609-1,195"
49,denton,Arbors of Denton,1-3 ,?,"638-1,034 ",3.2,"1103 Bernard St,  Denton, TX 76201",1,1,1,?,1,1,0,0,1,"619-1,274"
50,denton,Eighteen 51 Brinker,1-3 ,?,"700-1,350 ",3.2857142857142856,"1851 Brinker Rd,  Denton, TX 76208",1,1,1,?,1,1,1,1,1,"1,449-2,499"
51,denton,Starlite,2 ,?,433-575 ,3.5,"425 Fulton St,  Denton, TX 76201",0,1,1,?,0,0,0,0,0,625-705
52,denton,Ridgecrest,1-2 ,?,"531-1,069 ",3.0,"1300 Dallas Dr,  Denton, TX 76205",0,1,1,?,1,1,1,0,0,"1,110-1,594"
53,denton,The Quarter,2 ,?,710 ,4.0,"1003 Eagle Dr,  Denton, TX 76201",0,1,1,?,0,0,0,0,0,655
54,denton,Vitae Residences,1-2 ,?,"548-1,030 ",3.3333333333333335,"1702 N Ruddell St,  Denton, TX 76209",0,1,1,?,0,0,0,0,1,"823-1,251"
55,denton,MACK PARK,1-2 ,?,"500-1,000 ",3.2,"400 Audra Ln,  Denton, TX 76209",1,1,0,?,1,1,1,1,0,"910-1,400"
56,denton,Lana Apartments,1-2 ,?,537-885 ,3.5,"521 E Windsor Dr,  Denton, TX 76209",?,0,0,?,0,1,0,0,1,"986-1,396"
57,denton,14 Fifty-One ALL INCLUSIVE *Student Living*,2-5 ,?,"1,025-1,947 ",3.4,"1451 Centre Place Dr,  Denton, TX 76205",0,1,1,?,1,1,0,1,0,795-995
58,denton,Residences at The Union,Studio-2 ,?,400-850 ,3.5,"2211 W Hickory St,  Denton, TX 76201",1,0,0,?,0,0,0,0,0,"1,090"
59,denton,Concrete Jungle Properties-DENTON,Studio-2 ,?,450-900 ,3.3333333333333335,"2320 W Prairie St,  Denton, TX 76201",1,0,0,?,0,1,0,0,0,"850-1,350"
60,denton,Country Park Apartment Homes,1-3 ,?,"700-1,075 ",3.1666666666666665,"1606 E McKinney St,  Denton, TX 76209",0,1,1,?,1,1,1,0,1,"931-1,264"
61,denton,Coronado Villas,1-2 ,?,"625-1,350 ",3.5,"113 Coronado Dr,  Denton, TX 76209",?,1,1,?,0,1,1,0,0,"720-1,700"
62,denton,Aspire Apartments,1-2 ,?,495-960 ,3.3333333333333335,"201 Coronado Dr,  Denton, TX 76209",?,0,0,?,1,1,1,0,0,"918-1,374"
63,denton,Estate Villas at Krum Apartments,1-3 ,?,"732-1,250 ",3.3333333333333335,"4891 Masch Branch Rd,  Krum, TX 76249",0,1,1,?,1,1,1,0,1,"1,187-1,966"
64,denton,Oxford at the Boulevard,1-3 ,?,"680-1,325 ",3.2857142857142856,"2010 S Corinth St,  Corinth, TX 76210",0,1,1,?,1,1,0,1,1,"1,330-1,550"
65,denton,Ashleye Village,2 ,?,787-883 ,3.0,"155 W Overly Dr,  Lake Dallas, TX 75065",1,1,0,?,0,1,1,1,0,"1,145-1,360"
66,denton,Oxford at Lake View,1 ,?,835 ,3.0,"3300 S Garrison Rd,  Corinth, TX 76210",1,1,1,?,1,1,0,1,1,"1,323"
67,denton,Tower Ridge Apartments,1-3 ,?,"850-1,150 ",3.4,"2560 Tower Ridge Dr,  Corinth, TX 76210",0,1,1,?,1,1,0,1,0,"990-1,401"
68,denton,1717 N Locust St,2 ,?,800 ,4.0,"1717 N Locust St,  Denton, TX 76201",?,1,0,?,0,0,0,0,0,"900-1,374"
69,denton,Emerald Lane,1-2 ,?,630-792 ,3.5,"3401 Joyce Ln,  Denton, TX 76207",1,0,0,?,0,0,0,1,0,"1,050"
70,denton,404 Industrial Park,1-2 ,?,"600-1,564 ",3.0,"404 Industrial St,  Denton, TX 76201",1,0,0,?,0,1,0,0,0,"1,145-1,795"
71,denton,Trinity Pines,1-2 ,?,503-991 ,3.0,"3815 Stuart Rd,  Denton, TX 76209",?,0,0,?,0,0,1,0,0,"1,200-1,295"
72,denton,Waterford at Spencer Oaks,2-3 ,?,"976-1,100 ",3.1666666666666665,"2100 Spencer Rd,  Denton, TX 76205",1,1,1,?,0,1,1,0,0,"1,092-1,450"
73,denton,Holly Hills,1-3 ,?,"697-1,432 ",3.3333333333333335,"900 Londonderry Ln,  Denton, TX 76205",1,1,1,?,1,1,1,0,0,"1,155-1,975"
74,denton,Hunter's Creek Apartments,1-3 ,?,"750-1,363 ",3.142857142857143,"2250 Hunter's Creek rd,  Denton, TX 76210",1,1,1,?,1,0,1,1,1,"1,495-2,770"
75,denton,University LOFT Apartments,2 ,?,850 ,3.0,"2421 Louise St,  Denton, TX 76201",0,0,0,?,0,0,0,0,0,"1,200"
76,denton,Forest Ridge,2-3 ,?,"1,110-1,400 ",3.2,"1810 Westminster St,  Denton, TX 76205",0,1,1,?,1,1,1,0,0,"1,305-1,780"
77,denton,"CDI Crow, LLC",2-4 ,?,"850-1,200 ",3.0,"1831-1849 Crow St,  Denton, TX 76201",0,0,0,?,0,0,0,1,0,Contact for Rates
78,denton,Vineyard Apartments,1-2 ,?,600-935 ,4.0,"902 Vine St,  Denton, TX 76209",1,0,0,?,0,0,0,0,0,"1,000-1,400"
79,denton,Woodhill Apartments,1-2 ,?,"531-1,148 ",3.2857142857142856,"1408 Teasley Ln,  Denton, TX 76205",0,1,1,?,1,1,1,0,0,"1,035-1,784"
80,denton,Millennium Place Apartments,1-2 ,?,"727-1,380 ",3.5714285714285716,"6651 I35E,  Denton, TX 76208",1,1,1,?,1,1,0,1,1,"1,429-2,034"
81,denton,Lone Star Apartments,1-2 ,?,464-850 ,3.5,"600 Texas St,  Denton, TX 76209",1,0,0,?,0,1,0,0,0,"950-1,250"
82,denton,Bent Tree Apartments,1-2 ,?,600-935 ,3.0,"1000 N Bell Ave,  Denton, TX 76209",1,0,0,?,0,1,0,0,0,"1,100-1,500"
83,denton,Struga Place,2 ,?,954 ,3.0,"206 Sawyer Ave,  Denton, TX 76201",1,0,0,?,0,0,0,0,0,"1,400"
84,denton,The Crossing Apartments,1 ,?,500-570 ,3.5,"2413 Prairie St,  Denton, TX 76201",1,0,0,?,0,0,0,0,0,900-950
85,denton,Park Place,2 ,?,886 ,3.0,"2001 W Hickory St,  Denton, TX 76201",1,0,0,?,0,1,1,0,0,"1,400"
86,denton,Cole Place,1-2 ,?,470-886 ,3.5,"1004 Cleveland St,  Denton, TX 76201",1,0,0,?,0,1,0,0,0,"900-1,400"
87,denton,Bonnie Green Apartments,1-2 ,?,625-850 ,3.5,"101-121 S Bonnie Brae St,  Denton, TX 76201",1,0,0,?,0,1,1,0,0,"1,000-1,300"
88,denton,The Dominion Apartments,1-2 ,?,600-850 ,4.0,"923-929 W Sycamore St,  Denton, TX 76201",0,0,0,?,0,1,0,0,0,"1,000-1,400"
89,denton,The Loop,1-3 ,?,"700-1,100 ",3.1666666666666665,"517 N Loop 288,  Denton, TX 76209",0,1,1,?,1,1,1,1,0,"1,050-1,650"
90,denton,Prairie Hollow Apartments,1-2 ,?,510-710 ,4.0,"2500 N Interstate 35,  Denton, TX 76201",0,1,0,?,0,0,0,0,0,780-950
91,denton,Holly Tree,1-2 ,?,442-842 ,4.0,"2527 Louise St,  Denton, TX 76201",0,0,0,?,0,1,0,0,0,"900-1,300"
92,denton,The Cluster Apartments,Studio-1 ,?,300-940 ,3.5,"2269 W Oak St,  Denton, TX 76201",1,0,0,?,0,1,0,0,0,"800-1,250"
93,denton,Cornerstone Apartments,1-2 ,?,580-927 ,3.5,"700 Hercules Ln,  Denton, TX 76209",1,0,0,?,0,1,1,0,0,"1,000-1,400"
94,denton,1011 N Austin St,1 ,?,566 ,4.0,"1011 N Austin St,  Denton, TX 76201",0,0,0,?,0,1,0,0,0,850
95,denton,2425 Louise St,?,?,?,4.0,"2425 Louise St,  Denton, TX 76201",0,0,0,?,0,0,0,0,0,?
96,denton,"116 Hann St, Unit 1",1 ,?,550 ,3.0,"116 Hann St,  Denton, TX 76201",?,0,0,?,0,0,0,0,0,"1,250"
97,denton,"403 Bryan St, Unit 107",?,?,?,4.0,"403 Bryan St,  Denton, TX 76201",0,0,0,?,0,0,0,0,0,?
98,denton,"2239 Berniece Jones Rd, Unit 1",3 ,?,"1,897 ",3.0,"2239 Berniece Jones Rd,  Argyle, TX 76226",?,0,0,?,0,0,1,0,0,"2,400"
99,denton,2425 louise,?,?,?,?,"2425 louise,  Denton, TX 76201",0,0,0,?,0,0,0,0,0,?
100,denton,Park View Apartments,1 ,?,575 ,?,"622-624 Londonderry Ln,  Denton, TX 76205",0,0,0,?,0,0,0,0,0,675
101,denton,Starlite,2 ,?,433-575 ,3.5,"425 Fulton St,  Denton, TX 76201",0,1,1,?,0,0,0,0,0,625-705
102,denton,Iris Garden,1-2 ,?,400-800 ,?,"1128 Frame St,  Denton, TX 76209",?,0,0,?,0,0,0,0,0,"805-1,050"
103,denton,2200 W Hickory St,1-2 ,?,500-750 ,?,"2200 W Hickory St,  Denton, TX 76201",?,0,0,?,0,0,0,0,0,825-925
104,denton,Russell's Place,2 ,?,780 ,?,"2216 W Hickory St,  Denton, TX 76201",?,1,0,?,0,0,0,0,0,"1,100"
105,denton,1129 Johnson St,?,?,?,?,"1129 Johnson St,  Denton, TX 76205",0,0,0,?,0,1,1,1,0,?
106,denton,Austin Condominiums,?,?,?,?,"900-908 N Austin St,  Denton, TX 76201",?,0,0,?,0,0,0,0,0,?
107,denton,1115 N Austin St,?,?,?,?,"1115 N Austin St,  Denton, TX 76201",?,0,0,?,0,0,0,0,0,?
108,denton,City Place Apartments,?,?,?,?,"210 E Sycamore St,  Denton, TX 76201",1,0,0,?,0,0,0,1,0,?
109,denton,924 N Locust St,?,?,?,?,"924 N Locust St,  Denton, TX 76201",?,?,?,?,?,?,?,?,?,?
110,denton,2118 Bolivar St,?,?,?,?,"2118 Bolivar St,  Denton, TX 76201",?,0,0,?,0,0,0,0,0,?
111,denton,Multifamily,?,?,?,?,"200-206 W Collins St,  Denton, TX 76201",?,?,?,?,?,?,?,?,?,?
112,denton,"N. Elm Duplexes, Denton, TX 76201",?,?,?,?,"2317 N Elm St,  Denton, TX 76201",?,0,0,?,0,0,0,1,0,?
113,denton,2331-2335 Elm St,?,?,?,?,"2331-2335 Elm St,  Denton, TX 76201",?,0,0,?,0,0,0,0,0,?
114,denton,1420-1426 N Elm,?,?,?,?,"1420-1426 N Elm,  Denton, TX 76201",?,?,?,?,?,?,?,?,?,?
115,denton,2216 N Elm St,?,?,?,?,"2216 N Elm St,  Denton, TX 76201",?,?,?,?,?,?,?,?,?,?
116,denton,520-538 Alegre Vista Dr,?,?,?,?,"520-538 Alegre Vista Dr,  Denton, TX 76205",?,?,?,?,?,?,?,?,?,?
117,denton,501 Withers St,?,?,?,?,"501 Withers St,  Denton, TX 76209",?,0,0,?,0,0,0,0,0,?
118,denton,Riviera Apartments,?,?,?,?,"1102 N Bell Ave,  Denton, TX 76209",?,0,0,?,0,0,0,0,0,?
119,denton,1116 N Bell Ave,?,?,?,?,"1116 N Bell Ave,  Denton, TX 76209",?,?,?,?,?,?,?,?,?,?
120,denton,Markshire Apartments,?,?,?,?,"912 N Bell St,  Denton, TX 76209",?,0,0,?,0,0,0,0,0,?
121,denton,Bella Vineyards,?,?,?,?,"1126 N Bell Ave,  Denton, TX 76209",?,0,0,?,0,0,0,0,0,?
122,denton,1414-1420 Sombre Vista Dr,?,?,?,?,"1414-1420 Sombre Vista Dr,  Denton, TX 76205",?,?,?,?,?,?,?,?,?,?
123,denton,217-219 E Congress St,?,?,?,?,"217-219 E Congress St,  Denton, TX 76201",?,?,?,?,?,?,?,?,?,?
124,denton,326 Mill St,?,?,?,?,"326 Mill St,  Denton, TX 76205",?,0,0,?,0,0,0,0,0,?
125,denton,614 Londonderry Ln,?,?,?,?,"614 Londonderry Ln,  Denton, TX 76205",?,0,0,?,0,0,0,0,0,?
126,denton,The 321 Apartments,?,?,?,?,"321 Withers St,  Denton, TX 76201",?,0,0,?,0,0,0,0,0,?
127,denton,1404 Margie St,?,?,?,?,"1404 Margie St,  Denton, TX 76201",?,?,?,?,?,?,?,?,?,?
128,denton,1305 Fannin St,?,?,?,?,"1305 Fannin St,  Denton, TX 76201",?,0,0,?,0,0,0,0,0,?
129,denton,1400-1402 W Hickory St,?,?,?,?,"1400-1402 W Hickory St,  Denton, TX 76201",?,?,?,?,?,?,?,?,?,?
